Berichtsstart,Berichtsende,"Name der Kampagne",Kampagnenauslieferung,Attributionseinstellung,Ergebnisse,"Indikator für Ergebnisse",Reichweite,Frequenz,"Kosten pro Ergebnis",Anzeigengruppenbudget,"Art des Anzeigengruppenbudgets","Ausgegebener Betrag (EUR)",Ende,Impressionen,"CPM (Kosten pro 1.000 Impressionen) (EUR)",Link-Klicks,"CPC (Kosten pro Link-Klick) (EUR)","CTR (Link-Klickrate)","Klicks (alle)","CTR (alle)","CPC (alle) (EUR)",Landingpage-Aufrufe,"Kosten pro Landingpage-Aufruf (EUR)","3-sekündige Videowiedergaben","Kosten pro 3-sekündiger Videowiedergabe (EUR)","Kosten pro ThruPlay (EUR)",ThruPlays,"Profilaufrufe auf Instagram","Videowiedergaben bis 25 %","Videowiedergaben bis 50 %","Videowiedergaben bis 75 %","Videowiedergaben bis 100 %","Rate der 3-sekündigen Videowiedergaben an Impressionen","Durchschnittliche Videowiedergabedauer",unique_video_continuous_2_sec_watched_actions:video_view,"Kosten pro 2-sekündiger Videowiedergabe ohne Unterbrechung (EUR)","2-sekündige Videowiedergaben ohne Unterbrechung"
2026-04-15,2026-05-14,"Webinar Promotion - Software Winkel",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,50,Täglich,0,Fortlaufend,0,0,,,,0,0,0,,,,,,,0,,,,,,00:00:00,,,
2026-04-15,2026-05-14,"Webinar Promotion - Normal",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,50,Täglich,0,Fortlaufend,0,0,,,,0,0,0,,,,,,,0,,,,,,00:00:00,,,
2026-04-15,2026-05-14,"Direktansprache auf VSL",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,30,Täglich,0,Fortlaufend,0,0,,,,0,0,0,,,,,,,0,,,,,,00:00:00,,,
2026-04-15,2026-05-14,"Retargetting Profilvisits",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,56,1.714286,,10,Täglich,7.67,Fortlaufend,96,79.895833,2,3.835,2.083333,4,4.166667,1.9175,1,7.67,14,0.547857,1.9175,4,9,9,7,4,1,14.583333,2,,,
2026-04-15,2026-05-14,"VSL auf Formular Seite",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,30,Täglich,0,Fortlaufend,0,0,,,,0,0,0,,,,,,,0,,,,,,00:00:00,,,
2026-04-15,2026-05-14,"Recruiting - Opener Zoepp",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,25,Täglich,0,Fortlaufend,0,0,,,,0,0,0,,,,,,,0,,,,,,00:00:00,,,
2026-04-15,2026-05-14,"Recruiting - Opener Zoepp – BER",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,30,Täglich,0,Fortlaufend,0,0,,,,0,0,0,,,,,,,0,,,,,,00:00:00,,,
2026-04-15,2026-05-14,"Follower Ads - April Run",inactive,"1 Tag (Klick)",,,0,0,,"Verwendet Anzeigengruppenbudget",0,0,Fortlaufend,0,0,,,,0,0,0,,,,,,,0,,,,,,00:00:00,,,
2026-04-15,2026-05-14,"April I Direktansprache auf VSL",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",1,actions:offsite_conversion.fb_pixel_lead,3032,2.306069,328.1,50,Täglich,328.1,Fortlaufend,6992,46.925057,130,2.523846,1.859268,208,2.974828,1.577404,56,5.858929,1681,0.195181,0.492643,666,152,596,352,184,70,24.041762,5,,,
2026-04-15,2026-05-14,"Cold Traffic I Leads I Erstgespräch",active,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",3,actions:offsite_conversion.fb_pixel_lead,5250,2.893905,243.39333333,40,Täglich,730.18,Fortlaufend,15193,48.060291,382,1.911466,2.514316,586,3.857039,1.246041,154,4.741429,1803,0.404981,0.696737,1048,227,980,733,441,178,11.867307,7,,,
2026-04-15,2026-05-14,"Warm Traffic - Erstgespräch - Impression",active,"7 Tage (Klick) oder 1 Tag (Aufruf)",106,actions:link_click,4546,14.192477,1.70311321,10,Täglich,180.53,Fortlaufend,64519,2.79809,106,1.703113,0.164293,132,0.204591,1.367652,93,1.941183,650,0.277738,2.616377,69,29,14,6,3,2,1.007455,1,,,
2026-04-15,2026-05-14,"Cold Traffic I Leads I Sales Call Aufzeichnung",active,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",8,actions:offsite_conversion.fb_pixel_lead,2055,1.947932,23.39875,40,Täglich,187.19,Fortlaufend,4003,46.762428,85,2.202235,2.123407,124,3.097677,1.509597,39,4.799744,42,4.456905,46.7975,4,74,1,,,,1.049213,2,,,
